Citizenship,Decisions,of which granted,of which rejected,of which dublin *1,of which others *2,Average handling time,Proportion of total number of granted decisions,Proportion of total number of granted decisions with dublin and others excluded
Total,58802,32631.0,9524.0,7297.0,9350.0,228.55508316,0.554930104418,0.774071877595
SYRIEN,20677,18523.0,36.0,1206.0,912.0,263.554674276,0.895826280408,0.998060240315
ERITREA,7450,6542.0,6.0,711.0,191.0,265.191946309,0.878120805369,0.999083689676
STATSLÖS,3954,3142.0,167.0,409.0,236.0,280.292867982,0.794638340921,0.949531580538
AFGHANISTAN,3071,1088.0,376.0,533.0,1074.0,178.701400195,0.354281992836,0.743169398907
SOMALIA,2907,958.0,385.0,1148.0,416.0,240.489852081,0.329549363605,0.713328369322
IRAK,2797,546.0,397.0,499.0,1355.0,173.045763318,0.195209152664,0.579003181336
STATEN PALESTINA,492,309.0,137.0,19.0,27.0,350.004065041,0.628048780488,0.692825112108
IRAN,661,182.0,116.0,148.0,215.0,226.517397882,0.275340393343,0.610738255034
ETIOPIEN,474,174.0,139.0,111.0,50.0,250.375527426,0.367088607595,0.555910543131
RYSSLAND,491,117.0,184.0,60.0,130.0,276.873727088,0.238289205703,0.388704318937
JEMEN,163,67.0,25.0,31.0,40.0,291.435582822,0.411042944785,0.728260869565
SUDAN,203,64.0,53.0,54.0,32.0,248.487684729,0.315270935961,0.547008547009
KOSOVO,2170,60.0,1303.0,418.0,389.0,102.424884793,0.0276497695853,0.04402054292
UGANDA,123,60.0,26.0,27.0,10.0,305.146341463,0.487804878049,0.697674418605
LIBANON,399,51.0,157.0,101.0,90.0,251.395989975,0.127819548872,0.245192307692
EGYPTEN,284,50.0,133.0,52.0,49.0,296.559859155,0.176056338028,0.273224043716
NIGERIA,269,45.0,47.0,124.0,53.0,186.197026022,0.167286245353,0.489130434783
AZERBAJDZJAN,214,43.0,78.0,24.0,69.0,276.528037383,0.200934579439,0.355371900826
UZBEKISTAN,158,40.0,44.0,29.0,45.0,295.721518987,0.253164556962,0.47619047619
ARMENIEN,231,38.0,124.0,20.0,49.0,314.96969697,0.164502164502,0.234567901235
MONGOLIET,480,38.0,345.0,20.0,77.0,250.772916667,0.0791666666667,0.0992167101828
MAROCKO,712,32.0,188.0,143.0,349.0,153.504213483,0.0449438202247,0.145454545455
UNDER UTREDNING,108,32.0,7.0,21.0,48.0,159.518518519,0.296296296296,0.820512820513
OKÄNT,272,31.0,169.0,27.0,45.0,261.621323529,0.113970588235,0.155
JORDANIEN,165,31.0,56.0,33.0,45.0,245.587878788,0.187878787879,0.35632183908
LIBYEN,371,29.0,46.0,167.0,129.0,157.086253369,0.078167115903,0.386666666667
UKRAINA,897,29.0,459.0,167.0,242.0,250.573021182,0.0323299888517,0.0594262295082
ALBANIEN,2628,27.0,1679.0,58.0,864.0,96.7579908676,0.0102739726027,0.0158264947245
PAKISTAN,167,26.0,58.0,31.0,52.0,261.497005988,0.155688622754,0.309523809524
ÖVRIGA,35,23.0,2.0,0.0,10.0,252.171428571,0.657142857143,0.92
SAUDIARABIEN,18,16.0,0.0,1.0,1.0,296.611111111,0.888888888889,1.0
GEORGIEN,561,15.0,185.0,119.0,242.0,206.882352941,0.0267379679144,0.075
SERBIEN,1451,13.0,807.0,85.0,546.0,106.419710544,0.00895933838732,0.0158536585366
BANGLADESH,112,12.0,71.0,12.0,17.0,327.830357143,0.107142857143,0.144578313253
VITRYSSLAND,194,11.0,46.0,15.0,122.0,210.443298969,0.0567010309278,0.19298245614
EL SALVADOR,66,10.0,39.0,0.0,17.0,275.727272727,0.151515151515,0.204081632653
GAMBIA,101,9.0,29.0,53.0,10.0,192.891089109,0.0891089108911,0.236842105263
KINA,31,8.0,9.0,3.0,11.0,315.903225806,0.258064516129,0.470588235294
KAMERUN,33,8.0,9.0,11.0,5.0,243.666666667,0.242424242424,0.470588235294
TURKIET,129,8.0,70.0,17.0,34.0,230.069767442,0.062015503876,0.102564102564
DEM REPUBLIKEN KONGO,44,8.0,17.0,16.0,3.0,283.5,0.181818181818,0.32
KIRGIZISTAN,93,7.0,33.0,30.0,23.0,198.935483871,0.0752688172043,0.175
TUNISIEN,213,7.0,36.0,75.0,95.0,152.845070423,0.0328638497653,0.162790697674
BURUNDI,18,7.0,3.0,8.0,0.0,281.5,0.388888888889,0.7
USA,32,6.0,13.0,0.0,13.0,122.8125,0.1875,0.315789473684
INDIEN,34,5.0,11.0,4.0,14.0,155.588235294,0.147058823529,0.3125
MAKEDONIEN,511,5.0,291.0,25.0,190.0,94.3816046967,0.00978473581213,0.0168918918919
GUINEA,44,5.0,11.0,14.0,14.0,215.409090909,0.113636363636,0.3125
KAZAKSTAN,165,4.0,71.0,61.0,29.0,225.824242424,0.0242424242424,0.0533333333333
SENEGAL,40,4.0,10.0,13.0,13.0,207.825,0.1,0.285714285714
VIETNAM,28,4.0,14.0,5.0,5.0,275.0,0.142857142857,0.222222222222
TANZANIA,24,4.0,5.0,10.0,5.0,201.708333333,0.166666666667,0.444444444444
ISRAEL,18,4.0,7.0,1.0,6.0,204.944444444,0.222222222222,0.363636363636
GREKLAND,11,4.0,5.0,0.0,2.0,262.818181818,0.363636363636,0.444444444444
BOSNIEN OCH HERCEGOVINA,556,4.0,323.0,16.0,213.0,73.5755395683,0.00719424460432,0.0122324159021
TCHAD,14,4.0,0.0,7.0,3.0,111.571428571,0.285714285714,1.0
ANGOLA,12,3.0,2.0,6.0,1.0,224.333333333,0.25,0.6
SIERRA LEONE,21,3.0,7.0,8.0,3.0,199.523809524,0.142857142857,0.3
TADZJIKISTAN,29,3.0,10.0,11.0,5.0,223.827586207,0.103448275862,0.230769230769
BOLIVIA,20,3.0,13.0,3.0,1.0,242.4,0.15,0.1875
KENYA,28,2.0,7.0,12.0,7.0,251.5,0.0714285714286,0.222222222222
MAURETANIEN,10,2.0,0.0,6.0,2.0,107.2,0.2,1.0
COLOMBIA,21,2.0,10.0,2.0,7.0,270.571428571,0.0952380952381,0.166666666667
ZAMBIA,6,2.0,0.0,4.0,0.0,198.333333333,0.333333333333,1.0
ALGERIET,357,2.0,50.0,115.0,190.0,121.949579832,0.00560224089636,0.0384615384615
GHANA,43,2.0,10.0,20.0,11.0,152.581395349,0.046511627907,0.166666666667
VENEZUELA,27,2.0,22.0,0.0,3.0,279.222222222,0.0740740740741,0.0833333333333
KONGO,15,2.0,0.0,12.0,1.0,120.866666667,0.133333333333,1.0
NEPAL,7,1.0,5.0,1.0,0.0,273.142857143,0.142857142857,0.166666666667
PERU,9,1.0,8.0,0.0,0.0,253.444444444,0.111111111111,0.111111111111
NORDKOREA,2,1.0,0.0,0.0,1.0,726.0,0.5,1.0
POLEN,15,1.0,10.0,0.0,4.0,144.2,0.0666666666667,0.0909090909091
RWANDA,10,1.0,2.0,6.0,1.0,219.7,0.1,0.333333333333
ZIMBABWE,2,1.0,1.0,0.0,0.0,389.5,0.5,0.5
SRI LANKA,19,1.0,6.0,12.0,0.0,203.578947368,0.0526315789474,0.142857142857
JAMAICA,2,1.0,1.0,0.0,0.0,234.0,0.5,0.5
FRANKRIKE,4,1.0,3.0,0.0,0.0,10.75,0.25,0.25
UNGERN,7,1.0,1.0,0.0,5.0,66.0,0.142857142857,0.5
KUBA,38,1.0,22.0,1.0,14.0,273.447368421,0.0263157894737,0.0434782608696
KUWAIT,8,1.0,4.0,1.0,2.0,246.375,0.125,0.2
MALAYSIA,1,1.0,0.0,0.0,0.0,531.0,1.0,1.0
MALI,21,1.0,3.0,13.0,4.0,147.523809524,0.047619047619,0.25
STORBRITANNIEN,2,0.0,0.0,0.0,2.0,371.0,0.0,0.0
SLOVENIEN,5,0.0,5.0,0.0,0.0,10.0,0.0,0.0
SLOVAKIEN,4,0.0,4.0,0.0,0.0,33.0,0.0,0.0
TRINIDAD OCH TOBAGO,2,0.0,2.0,0.0,0.0,122.0,0.0,0.0
TURKMENISTAN,5,0.0,0.0,1.0,4.0,115.0,0.0,0.0
SYDAFRIKA,3,0.0,2.0,1.0,0.0,144.333333333,0.0,0.0
SPANIEN,8,0.0,4.0,0.0,4.0,194.875,0.0,0.0
SYDKOREA,4,0.0,2.0,0.0,2.0,162.25,0.0,0.0
TOGO,7,0.0,2.0,4.0,1.0,142.285714286,0.0,0.0
TJECKIEN,1,0.0,1.0,0.0,0.0,4.0,0.0,0.0
THAILAND,6,0.0,3.0,2.0,1.0,229.833333333,0.0,0.0
SYDSUDAN,2,0.0,0.0,2.0,0.0,107.5,0.0,0.0
URUGUAY,1,0.0,0.0,0.0,1.0,159.0,0.0,0.0
MADAGASKAR,3,0.0,3.0,0.0,0.0,294.333333333,0.0,0.0
RUMÄNIEN,45,0.0,36.0,0.0,9.0,127.0,0.0,0.0
COMORERNA,1,0.0,0.0,1.0,0.0,56.0,0.0,0.0
ESTLAND,1,0.0,0.0,0.0,1.0,9.0,0.0,0.0
ARGENTINA,6,0.0,3.0,0.0,3.0,150.5,0.0,0.0
ELFENBENSKUSTEN,19,0.0,6.0,8.0,5.0,210.263157895,0.0,0.0
EKVATORIALGUINEA,1,0.0,0.0,1.0,0.0,136.0,0.0,0.0
ECUADOR,6,0.0,6.0,0.0,0.0,203.666666667,0.0,0.0
DOMINIKANSKA REPUBLIKEN,5,0.0,0.0,0.0,5.0,112.0,0.0,0.0
DJIBOUTI,24,0.0,10.0,11.0,3.0,206.25,0.0,0.0
CHILE,22,0.0,15.0,0.0,7.0,207.090909091,0.0,0.0
NIGER,2,0.0,0.0,1.0,1.0,62.5,0.0,0.0
CENTRALAFRIKANSKA REPUBLIKEN,1,0.0,0.0,1.0,0.0,62.0,0.0,0.0
BURMA,2,0.0,0.0,1.0,1.0,258.5,0.0,0.0
BURKINA FASO,5,0.0,0.0,4.0,1.0,102.6,0.0,0.0
BULGARIEN,9,0.0,8.0,0.0,1.0,158.777777778,0.0,0.0
BRASILIEN,4,0.0,2.0,0.0,2.0,231.0,0.0,0.0
BENIN,3,0.0,0.0,3.0,0.0,106.333333333,0.0,0.0
BELIZE,1,0.0,0.0,0.0,1.0,4.0,0.0,0.0
FILIPPINERNA,13,0.0,6.0,5.0,2.0,161.230769231,0.0,0.0
GRENADA,1,0.0,1.0,0.0,0.0,169.0,0.0,0.0
GUINEA BISSAU,8,0.0,2.0,5.0,1.0,177.875,0.0,0.0
HONDURAS,5,0.0,3.0,0.0,2.0,215.8,0.0,0.0
NICARAGUA,13,0.0,8.0,0.0,5.0,209.384615385,0.0,0.0
NEDERLÄNDERNA,1,0.0,1.0,0.0,0.0,412.0,0.0,0.0
MONTENEGRO,150,0.0,86.0,11.0,53.0,103.053333333,0.0,0.0
MOLDAVIEN,36,0.0,16.0,4.0,16.0,189.222222222,0.0,0.0
MEXICO,8,0.0,3.0,1.0,4.0,203.0,0.0,0.0
MALAWI,1,0.0,0.0,1.0,0.0,101.0,0.0,0.0
AUSTRALIEN,1,0.0,0.0,0.0,1.0,14.0,0.0,0.0
LITAUEN,5,0.0,4.0,0.0,1.0,3.4,0.0,0.0
LETTLAND,2,0.0,0.0,0.0,2.0,158.5,0.0,0.0
KROATIEN,18,0.0,15.0,0.0,3.0,67.2222222222,0.0,0.0
KAP VERDE,4,0.0,3.0,0.0,1.0,345.5,0.0,0.0
KANADA,6,0.0,3.0,1.0,2.0,188.5,0.0,0.0
JAPAN,9,0.0,0.0,0.0,9.0,62.6666666667,0.0,0.0
ITALIEN,5,0.0,2.0,0.0,3.0,132.6,0.0,0.0
INDONESIEN,1,0.0,0.0,0.0,1.0,11.0,0.0,0.0
LIBERIA,7,0.0,3.0,3.0,1.0,201.857142857,0.0,0.0
